Opponent,Matches,Score,Win%
Lugia Archeops,102,49 - 52 - 1,48.04%
Mew Genesect,88,40 - 48 - 0,45.45%
Lost Zone Box,46,17 - 29 - 0,36.96%
Arceus Duraludon,44,8 - 32 - 4,18.18%
Regis,37,12 - 24 - 1,32.43%
Goodra LZ Box,36,13 - 22 - 1,36.11%
Rayquaza LZ Box,25,11 - 14 - 0,44.00%
Giratina LZ Box,22,7 - 15 - 0,31.82%
Eternatus,15,4 - 10 - 1,26.67%
Other,14,6 - 8 - 0,42.86%
Durant,12,6 - 6 - 0,50.00%
Mewtwo Control,11,7 - 4 - 0,63.64%
Kyurem Palkia,11,6 - 5 - 0,54.55%
Palkia Inteleon,10,5 - 5 - 0,50.00%
Zoroark Box,9,8 - 1 - 0,88.89%
Regidrago,8,4 - 4 - 0,50.00%
Arceus Flying Pikachu,8,3 - 5 - 0,37.50%
Vikavolt Regieleki,8,2 - 6 - 0,25.00%
Arceus,8,0 - 8 - 0,0.00%
Galarian Weezing,6,3 - 2 - 1,50.00%
Hisuian Zoroark,6,1 - 5 - 0,16.67%
Vikavolt,6,0 - 6 - 0,0.00%
Arceus Tapu Koko,5,2 - 3 - 0,40.00%
Lunatone Solrock,5,1 - 4 - 0,20.00%
Frosmoth Inteleon Box,5,0 - 5 - 0,0.00%
Arceus Inteleon,5,0 - 5 - 0,0.00%
Yveltal Control,4,3 - 1 - 0,75.00%
Crobat Weezing,4,1 - 3 - 0,25.00%
Blissey,4,0 - 4 - 0,0.00%
Mewtwo Gengar,3,3 - 0 - 0,100.00%
Weezing Aerodactyl,3,2 - 1 - 0,66.67%
Calyrex Inteleon,3,2 - 1 - 0,66.67%
Flaaffy,3,1 - 2 - 0,33.33%
Dialga,3,1 - 2 - 0,33.33%
Shadow Rider Calyrex,3,1 - 2 - 0,33.33%
Rapid Strike Urshifu,3,1 - 2 - 0,33.33%
Darkrai,2,2 - 0 - 0,100.00%
Kyurem,2,2 - 0 - 0,100.00%
Inteleon Box,2,2 - 0 - 0,100.00%
Arceus Regidrago,2,2 - 0 - 0,100.00%
Duraludon,2,2 - 0 - 0,100.00%
Arceus Goodra,2,1 - 1 - 0,50.00%
Entei,2,1 - 1 - 0,50.00%
Zacian,2,1 - 1 - 0,50.00%
Arceus Mewtwo,2,0 - 2 - 0,0.00%
Gengar,1,1 - 0 - 0,100.00%
Sableye Inteleon,1,1 - 0 - 0,100.00%
Umbreon,1,1 - 0 - 0,100.00%
Arceus Giratina,1,1 - 0 - 0,100.00%
Hisuian Arcanine,1,1 - 0 - 0,100.00%
Samurott Inteleon,1,1 - 0 - 0,100.00%
Serperior,1,1 - 0 - 0,100.00%
Arceus Aggron,1,1 - 0 - 0,100.00%
Palkia Vikavolt,1,1 - 0 - 0,100.00%
Morpeko Diancie,1,1 - 0 - 0,100.00%
Mimikyu,1,1 - 0 - 0,100.00%
Snorlax Stall,1,1 - 0 - 0,100.00%
Rotom,1,1 - 0 - 0,100.00%
Arcanine Zoroark,1,0 - 1 - 0,0.00%
Dragapult Inteleon,1,0 - 1 - 0,0.00%
Articuno Inteleon,1,0 - 1 - 0,0.00%
Urshifu Inteleon,1,0 - 1 - 0,0.00%
Galarian Obstagoon,1,0 - 1 - 0,0.00%
Dragapult,1,0 - 1 - 0,0.00%
Togekiss,1,0 - 1 - 0,0.00%
Dracozolt,1,0 - 1 - 0,0.00%
Jolteon Inteleon,1,0 - 1 - 0,0.00%
Inteleon Inteleon,1,0 - 1 - 0,0.00%
Dialga LZ,1,0 - 1 - 0,0.00%
Snorlax Cherrim,1,0 - 1 - 0,0.00%
